# Arlo U. Landolt
# UBVRI PHOTOMETRIC STANDARD STARS AROUND THE CELESTIAL EQUATOR: UPDATES AND ADDITIONS
# Astron.J.137:4186,2009
# https://arxiv.org/abs/0904.0638
#
# STAR       Star
# RA_2000    alpha (J2000.0)
# DEC_2000   delta (J2000.0)
# MAG_V      V
# MAG_BV     B-V
# MAG_UB     U-B
# MAG_VR     V-R
# MAG_RI     R-I
# MAG_VI     V-I
# NOB        number of observation
# NNI        number of nights
# ERR_V      mean error of V
# ERR_BV     mean error of B-V
# ERR_UB     mean error of U-B
# ERR_VR     mean error of V-R
# ERR_RI     mean error of R-I
# ERR_VI     mean error of V-I
FIELD_NAME      STAR	       RA_2000          DEC_2000        MAG_V    MAG_BV   MAG_UB   MAG_VR   MAG_RI   MAG_VI   NOB   NNI    ERR_V     ERR_BV    ERR_UB    ERR_VR	   ERR_RI    ERR_VI
SA92            92_508         00:56:51.196     +01:09:34.19    11.679   +0.529   -0.047   +0.318   +0.320   +0.639     3     2    0.0035    0.0046    0.0029    0.0058    0.0029    0.0029    
SA92            92_364         00:56:52.235     +00:43:53.58    11.673   +0.607   -0.037   +0.356   +0.357   +0.714     4     2    0.0015    0.0015    0.0085    0.0045    0.0010    0.0055    
SA92            92_433         00:56:53.726     +01:00:41.72    11.667   +0.655   +0.110   +0.367   +0.348   +0.716     3     2    0.0006    0.0035    0.0115    0.0029    0.0017    0.0023    
SA92            92_288         00:57:17.005     +00:36:48.67    11.631   +0.858   +0.472   +0.491   +0.441   +0.932    72    57    0.0011    0.0007    0.0014    0.0006    0.0008    0.0011    
F_11            F_11           01:04:21.676     +04:13:37.04    12.065   -0.239   -0.988   -0.118   -0.142   -0.259    91    75    0.0007    0.0007    0.0017    0.0006    0.0010    0.0011    
F_11            F_11A          01:04:27.97      +04:11:55.4     14.475   +0.841   +0.454   +0.479   +0.426   +0.907    16     7    0.0027    0.0046    0.0128    0.0036    0.0075    0.0098    
F_11            F_11B          01:04:28.389     +04:11:25.09    13.784   +0.747   +0.234   +0.437   +0.412   +0.849    14     7    0.0025    0.0026    0.0043    0.0021    0.0036    0.0055    
-               F_16           01:54:34.633     -06:45:59.67    12.405   -0.008   +0.013   -0.007   +0.002   -0.004    59    46    0.0007    0.0007    0.0018    0.0008    0.0013    0.0013    
SA93            93_407         01:54:37.126     +00:53:47.93    11.971   +0.852   +0.564   +0.487   +0.421   +0.908     5     3    0.0027    0.0031    0.0134    0.0031    0.0036    0.0027    
SA93            93_317         01:54:37.728     +00:43:00.57    11.546   +0.488   -0.053   +0.293   +0.299   +0.592    53    44    0.0005    0.0006    0.0012    0.0006    0.0006    0.0006    
